age,dfh,edu,employee_id,job_level,income,salary_increase,stock_option,training,years_company,years_promotion,years_manager,job_involvement,performance,num_companiesworked,years_working,satisfaction_environment,satisfaction_job,wlb,attrition,business_travel,department,edu_field,gender,job_role,marital
26,1,4,21,2,104470,18,0,3,6,1,4,3,3,1.0,6.0,3.0,2.0,1.0,No,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Divorced
50,8,4,22,1,96670,23,0,2,10,1,6,2,4,3.0,28.0,1.0,2.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Divorced
53,11,4,23,2,21480,11,0,2,5,1,3,3,3,3.0,21.0,3.0,3.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
29,16,4,25,1,65130,11,1,2,10,0,9,3,3,1.0,10.0,2.0,4.0,2.0,No,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single
55,1,4,26,1,67990,11,0,2,10,0,8,3,3,3.0,12.0,2.0,4.0,3.0,No,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Married
26,9,3,27,1,162910,22,0,3,5,3,3,3,4,1.0,5.0,1.0,1.0,3.0,No,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married
37,5,1,28,1,27050,11,0,2,17,5,7,3,3,1.0,17.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Marketing,Male,Research Scientist,Single
44,1,2,29,2,103330,14,1,2,1,0,0,2,3,3.0,19.0,4.0,3.0,1.0,Yes,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced
38,2,3,30,1,44480,12,0,3,2,1,2,2,3,9.0,10.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Marketing,Female,Manager,Divorced
26,4,3,31,3,68540,11,0,5,3,0,2,2,3,2.0,5.0,1.0,2.0,3.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
28,7,3,32,1,96370,13,0,6,5,0,2,2,3,1.0,5.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Other,Male,Human Resources,Single
49,1,1,33,2,35910,13,0,2,3,1,2,3,3,9.0,22.0,3.0,1.0,3.0,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single
36,5,3,34,3,54050,14,0,2,8,7,7,3,3,4.0,10.0,3.0,2.0,3.0,No,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Single
31,9,4,35,1,46840,16,1,4,2,2,2,3,3,1.0,2.0,4.0,2.0,2.0,No,Travel_Frequently,Research & Development,Medical,Male,Sales Executive,Divorced
26,8,3,36,2,157870,12,2,5,8,7,4,3,3,1.0,8.0,4.0,4.0,3.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Manager,Single
37,9,1,37,1,15140,14,0,3,4,1,2,3,3,1.0,4.0,2.0,4.0,2.0,No,Travel_Frequently,Sales,Marketing,Male,Laboratory Technician,Married
42,2,2,38,3,29560,13,0,2,20,4,8,3,3,5.0,23.0,3.0,2.0,4.0,No,Travel_Frequently,Sales,Marketing,Male,Research Director,Married
18,1,4,39,1,23350,14,2,3,0,0,0,2,3,1.0,0.0,3.0,3.0,3.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single
35,20,2,40,1,51540,19,0,2,11,6,9,2,3,0.0,12.0,3.0,2.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Male,Laboratory Technician,Married
51,2,3,42,2,56750,13,0,2,4,1,2,2,3,5.0,13.0,4.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced
41,29,1,43,1,23790,12,0,6,22,0,4,3,3,1.0,22.0,4.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
18,7,3,44,1,38120,15,0,3,0,0,0,3,3,1.0,0.0,4.0,3.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Single
28,9,3,45,1,46480,23,2,2,8,0,7,2,4,0.0,9.0,2.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Sales Representative,Single
31,8,1,46,1,29360,12,1,2,8,7,7,3,3,4.0,10.0,2.0,4.0,2.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married
39,5,4,47,2,21050,20,0,3,18,3,7,3,4,0.0,19.0,3.0,4.0,2.0,No,Travel_Rarely,Sales,Marketing,Female,Human Resources,Divorced
36,5,4,48,1,85780,21,0,4,9,0,8,3,4,7.0,11.0,2.0,2.0,3.0,No,Non-Travel,Research & Development,Life Sciences,Male,Sales Executive,Married
32,2,3,49,2,27060,21,1,4,13,4,8,3,4,1.0,13.0,4.0,3.0,2.0,No,Travel_Rarely,Sales,Marketing,Male,Laboratory Technician,Married
38,5,2,50,3,63840,19,2,4,10,0,1,2,3,3.0,19.0,1.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
58,2,3,51,2,39680,13,2,3,5,1,2,2,3,2.0,12.0,4.0,3.0,3.0,No,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced
31,20,1,52,3,99070,13,1,3,5,0,3,2,3,0.0,6.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married
31,7,4,53,2,132250,21,1,2,2,1,0,3,4,3.0,9.0,1.0,1.0,3.0,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
45,3,1,54,1,35400,13,0,6,24,9,11,3,3,1.0,24.0,1.0,1.0,3.0,No,Travel_Frequently,Research & Development,Medical,Female,Sales Executive,Divorced
31,16,4,55,2,28040,19,2,0,2,2,2,3,3,0.0,3.0,3.0,4.0,1.0,No,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Divorced
33,9,3,56,4,193920,12,1,3,10,8,8,3,3,6.0,12.0,4.0,2.0,3.0,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Director,Married
39,1,4,57,1,196650,22,1,6,21,11,10,3,4,1.0,21.0,3.0,1.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
43,7,4,58,4,24390,15,0,2,8,1,7,3,3,0.0,9.0,3.0,4.0,3.0,No,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Single
49,1,3,59,3,73140,22,0,2,7,0,7,3,4,7.0,25.0,3.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single
52,7,1,60,2,47740,18,1,2,8,7,7,3,3,2.0,11.0,3.0,2.0,2.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
27,15,4,61,3,39020,22,0,2,4,1,2,3,4,1.0,4.0,3.0,2.0,2.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
32,1,3,62,3,26620,11,1,6,13,11,9,4,3,1.0,13.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
27,13,2,63,4,28560,12,2,5,5,0,4,4,3,1.0,5.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Research Director,Single
31,24,3,64,2,10810,11,3,4,7,1,7,4,3,4.0,13.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Healthcare Representative,Divorced
32,7,3,65,2,24720,13,0,2,7,0,7,3,3,7.0,10.0,1.0,4.0,2.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single
28,9,4,66,1,56730,14,1,4,3,2,2,2,3,5.0,5.0,1.0,4.0,2.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Married
30,13,3,67,4,41970,13,0,3,10,1,9,3,3,1.0,11.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married
31,2,1,68,1,97130,17,0,5,10,8,9,2,3,1.0,10.0,3.0,3.0,3.0,No,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married
39,19,4,69,1,20620,13,0,4,21,13,3,3,3,1.0,21.0,3.0,4.0,3.0,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Married
39,1,1,70,1,42840,17,1,0,1,0,0,3,3,4.0,12.0,4.0,3.0,2.0,Yes,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married
33,4,2,71,4,47880,11,1,0,7,0,1,3,3,3.0,9.0,2.0,4.0,2.0,No,Travel_Frequently,Sales,Life Sciences,Male,Research Scientist,Single
47,4,3,72,2,59060,23,0,4,3,1,1,4,4,4.0,21.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married
43,14,3,73,5,38860,17,2,2,9,0,0,3,3,1.0,9.0,3.0,3.0,4.0,No,Travel_Frequently,Research & Development,Medical,Female,Research Director,Divorced
27,2,3,74,1,168230,17,0,3,5,1,4,3,3,0.0,6.0,3.0,2.0,3.0,No,Non-Travel,Research & Development,Life Sciences,Male,Research Director,Married
54,1,4,75,2,29330,12,2,2,4,0,3,3,3,3.0,20.0,4.0,3.0,2.0,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Single
43,7,2,76,2,65000,23,0,3,1,0,0,3,4,8.0,10.0,3.0,1.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married
45,3,1,77,1,171740,14,1,6,10,9,8,3,3,9.0,12.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
40,2,4,78,4,50330,14,2,6,4,0,2,3,3,2.0,6.0,2.0,4.0,2.0,No,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married
29,29,3,79,1,23070,13,1,0,7,0,7,3,3,1.0,7.0,2.0,1.0,2.0,Yes,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
29,8,3,80,3,25870,22,2,3,3,2,2,3,4,0.0,4.0,2.0,4.0,3.0,No,Travel_Rarely,Human Resources,Medical,Male,Sales Representative,Single
30,10,3,81,2,55070,12,2,2,10,1,2,2,3,1.0,10.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
27,11,2,82,1,43930,18,1,2,8,0,7,2,3,1.0,8.0,2.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Manager,Married
37,1,4,83,2,133480,14,0,4,6,0,4,3,3,7.0,8.0,4.0,4.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Male,Healthcare Representative,Divorced
38,28,4,84,1,65830,12,0,1,11,2,9,3,3,0.0,12.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
29,3,4,86,3,39780,11,0,0,7,1,7,3,3,1.0,7.0,4.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Divorced
35,16,2,87,3,25440,13,1,3,16,0,13,4,3,0.0,17.0,3.0,2.0,3.0,No,Travel_Rarely,Sales,Technical Degree,Male,Manager,Single
23,20,4,88,1,53990,23,0,2,4,0,2,2,4,1.0,4.0,3.0,4.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced
41,9,2,89,1,54870,19,2,0,5,1,2,3,3,6.0,8.0,4.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single
47,1,3,90,2,68340,16,1,2,0,0,0,4,3,3.0,5.0,2.0,3.0,3.0,No,Travel_Frequently,Sales,Medical,Female,Laboratory Technician,Single
42,3,4,91,1,10910,22,0,0,1,0,0,1,4,2.0,16.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Single
29,22,4,92,2,57360,22,0,1,4,0,2,2,4,1.0,4.0,4.0,3.0,2.0,No,Non-Travel,Sales,Marketing,Male,Human Resources,Married
42,7,4,93,3,22260,12,1,3,3,1,0,2,3,0.0,4.0,3.0,3.0,3.0,No,Travel_Rarely,Sales,Medical,Male,Research Scientist,Divorced
32,2,3,94,2,57470,13,0,0,8,0,7,3,3,1.0,8.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
48,13,4,95,4,98540,16,1,2,0,0,0,2,3,3.0,15.0,1.0,3.0,1.0,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
37,8,5,96,2,54670,12,0,2,7,6,7,3,3,4.0,13.0,3.0,1.0,3.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced
30,25,4,97,1,53800,21,1,0,2,2,2,3,4,7.0,4.0,4.0,3.0,4.0,No,Non-Travel,Sales,Other,Male,Healthcare Representative,Married
26,28,3,98,5,51510,15,3,3,8,7,7,3,3,1.0,8.0,3.0,3.0,3.0,No,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Married
42,2,2,99,1,21330,13,2,2,1,0,0,3,3,3.0,14.0,1.0,4.0,3.0,No,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Single
21,9,3,100,4,178750,12,0,5,3,1,2,2,3,1.0,3.0,1.0,2.0,3.0,Yes,Travel_Frequently,Research & Development,Medical,Female,Manufacturing Director,Single
36,28,3,101,2,24320,22,0,4,1,0,0,1,4,4.0,7.0,4.0,4.0,3.0,No,Non-Travel,Human Resources,Human Resources,Male,Laboratory Technician,Single
36,6,3,102,2,47710,13,1,2,13,1,12,3,3,4.0,16.0,1.0,4.0,3.0,No,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married
57,21,4,103,5,191610,18,0,2,3,1,2,1,3,2.0,15.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
40,8,3,104,2,50870,14,1,3,7,1,7,3,3,3.0,10.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Other,Male,Sales Executive,Married
21,1,5,105,2,28630,14,0,2,3,2,2,1,3,1.0,3.0,1.0,4.0,2.0,No,Non-Travel,Research & Development,Life Sciences,Female,Manager,Single
33,28,2,106,5,55610,21,1,3,1,0,0,1,4,1.0,1.0,4.0,3.0,3.0,Yes,Travel_Rarely,Human Resources,Human Resources,Female,Manager,Single
37,5,3,107,4,21440,19,0,3,5,0,3,4,3,6.0,17.0,3.0,1.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
46,2,4,108,2,30650,11,0,3,1,0,0,3,3,2.0,7.0,3.0,3.0,4.0,No,Non-Travel,Sales,Marketing,Female,Laboratory Technician,Married
41,16,1,109,1,28100,11,0,3,8,7,7,4,3,1.0,8.0,1.0,2.0,3.0,Yes,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single
50,9,3,110,3,98880,15,0,2,4,1,3,3,3,6.0,20.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single
40,8,3,111,1,86280,20,0,2,6,1,0,2,4,2.0,8.0,3.0,3.0,3.0,Yes,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married
21,10,2,113,1,53730,12,1,2,1,0,0,3,3,1.0,1.0,3.0,2.0,3.0,Yes,Travel_Rarely,Human Resources,Human Resources,Male,Laboratory Technician,Single
29,1,3,114,2,66670,12,1,6,3,1,2,4,3,9.0,6.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single
35,29,3,115,3,50030,15,0,2,1,0,0,3,3,9.0,10.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single
28,2,2,117,3,28580,12,0,2,7,0,7,2,3,1.0,7.0,2.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Manager,Single
49,2,3,118,2,52040,14,1,3,5,0,0,3,3,8.0,26.0,2.0,3.0,3.0,No,Travel_Rarely,Sales,Technical Degree,Male,Manufacturing Director,Single
51,1,2,119,1,41050,22,1,2,7,0,7,3,4,4.0,18.0,3.0,4.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married
36,15,2,120,1,96790,12,0,1,2,2,2,3,3,4.0,6.0,4.0,3.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
34,7,3,121,1,56170,25,1,3,5,0,4,3,4,8.0,9.0,1.0,4.0,2.0,Yes,Non-Travel,Research & Development,Life Sciences,Male,Sales Representative,Single
55,26,3,122,1,104480,13,0,3,5,1,2,3,3,2.0,30.0,3.0,4.0,3.0,No,Travel_Rarely,Sales,Marketing,Male,Laboratory Technician,Single
24,1,3,123,5,28970,18,3,4,5,0,3,3,3,1.0,5.0,4.0,3.0,4.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced
30,3,3,124,2,59680,13,0,3,1,0,0,3,3,1.0,1.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married
22,16,5,126,1,29910,19,2,3,2,1,2,2,3,1.0,2.0,1.0,2.0,3.0,No,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married
36,1,3,127,5,196360,12,1,3,10,9,0,3,3,1.0,10.0,2.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married
30,3,2,128,3,11290,19,0,2,1,0,0,2,3,9.0,3.0,3.0,4.0,3.0,Yes,Travel_Frequently,Sales,Marketing,Male,Research Scientist,Single
37,10,1,129,1,133410,14,1,3,18,12,17,3,3,1.0,18.0,4.0,1.0,2.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Sales Executive,Divorced
40,6,2,130,3,43320,14,2,3,5,1,3,2,3,7.0,8.0,4.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
42,2,3,131,4,110310,12,1,2,5,1,2,2,3,3.0,8.0,2.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced
37,9,1,132,3,44400,11,1,3,1,0,1,2,3,2.0,18.0,3.0,2.0,2.0,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single
43,10,2,133,1,46170,11,0,2,25,3,9,3,3,1.0,25.0,1.0,2.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced
40,6,2,134,1,26470,13,0,2,1,0,0,2,3,6.0,20.0,2.0,3.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Female,Laboratory Technician,Married
54,9,3,135,2,63230,23,1,2,4,1,2,2,4,4.0,24.0,1.0,1.0,2.0,No,Travel_Rarely,Human Resources,Life Sciences,Female,Manufacturing Director,Married
34,28,3,136,1,56770,20,1,3,3,1,2,3,4,9.0,6.0,3.0,3.0,3.0,No,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married
31,10,4,137,3,21870,15,1,2,13,3,12,2,3,1.0,13.0,2.0,1.0,1.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married
43,27,4,139,2,39770,18,1,3,5,0,2,3,3,4.0,8.0,3.0,3.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Divorced
25,7,2,140,1,86330,19,1,2,5,1,3,4,3,1.0,5.0,2.0,4.0,3.0,No,Travel_Rarely,Human Resources,Human Resources,Male,Manufacturing Director,Single
37,1,3,141,3,20080,22,0,5,13,10,7,2,4,3.0,15.0,2.0,3.0,3.0,No,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married
31,24,1,142,3,44400,13,1,2,4,3,2,3,3,1.0,4.0,4.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
39,26,4,143,1,30670,20,1,5,21,1,6,1,4,1.0,21.0,2.0,3.0,3.0,No,Travel_Frequently,Research & Development,Technical Degree,Female,Sales Executive,Divorced
56,20,4,144,3,53210,14,0,1,7,7,7,3,3,9.0,36.0,3.0,1.0,2.0,No,Travel_Frequently,Research & Development,Life Sciences,Female,Sales Executive,Married
30,5,4,145,2,54100,17,1,2,5,4,4,3,3,0.0,6.0,2.0,3.0,3.0,No,Travel_Rarely,Sales,Medical,Female,Manufacturing Director,Single
41,7,3,146,3,27820,14,0,2,10,0,7,2,3,1.0,10.0,2.0,1.0,3.0,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married
28,7,3,147,3,119570,13,0,2,10,1,8,2,3,1.0,10.0,3.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced
25,5,2,148,3,26600,13,0,3,2,0,2,3,3,5.0,6.0,1.0,1.0,3.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married
52,26,2,149,2,33750,21,0,2,5,0,4,2,4,2.0,28.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Representative,Married
45,2,3,150,1,50980,14,1,4,2,0,2,3,3,3.0,8.0,1.0,4.0,2.0,No,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Married
52,12,3,151,2,48780,11,1,3,5,1,4,3,3,2.0,31.0,4.0,4.0,1.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
42,10,3,152,2,28370,13,1,0,5,0,2,2,3,2.0,19.0,1.0,3.0,3.0,No,Travel_Frequently,Sales,Marketing,Female,Healthcare Representative,Divorced
30,25,3,153,1,24060,20,1,5,5,0,2,3,4,2.0,11.0,3.0,4.0,3.0,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single
60,10,3,154,1,22690,18,1,4,29,11,10,3,3,5.0,33.0,1.0,1.0,1.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married
46,19,4,155,1,41080,14,0,5,10,0,8,2,3,2.0,19.0,3.0,3.0,2.0,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
42,18,4,156,4,132060,13,2,2,6,0,4,3,3,0.0,7.0,4.0,4.0,4.0,No,Travel_Frequently,Research & Development,Technical Degree,Male,Sales Executive,Married
24,27,2,157,1,104220,17,1,0,5,1,4,2,3,1.0,6.0,1.0,2.0,3.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
34,5,3,158,2,137440,20,1,3,2,1,0,3,4,0.0,3.0,4.0,3.0,2.0,Yes,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced
38,3,3,159,2,49070,11,1,3,1,0,0,3,3,1.0,1.0,4.0,4.0,3.0,No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married
40,26,4,160,1,34820,18,1,2,20,1,12,2,3,0.0,21.0,3.0,3.0,3.0,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
26,3,2,161,4,24360,24,0,2,3,0,2,4,4,1.0,3.0,1.0,4.0,1.0,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Divorced
30,15,3,162,2,23800,18,3,2,5,1,4,2,3,4.0,9.0,3.0,4.0,1.0,No,Non-Travel,Research & Development,Medical,Female,Sales Executive,Married
29,8,3,163,3,194310,11,0,3,10,0,7,3,3,1.0,10.0,2.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married
29,19,4,164,3,17900,16,1,4,2,1,1,2,3,5.0,6.0,3.0,2.0,4.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
19,4,3,165,1,76440,15,2,2,1,0,0,3,3,1.0,1.0,1.0,4.0,4.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single
30,2,4,166,3,51310,15,1,2,9,7,8,3,3,0.0,10.0,3.0,1.0,3.0,No,Non-Travel,Research & Development,Life Sciences,Female,Research Scientist,Married
57,2,2,167,4,63060,12,1,3,1,0,0,3,3,3.0,32.0,1.0,4.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
50,10,4,168,3,47870,12,0,3,27,15,7,3,3,0.0,28.0,2.0,3.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married
30,10,2,169,3,188800,22,1,3,11,6,7,3,4,0.0,12.0,3.0,4.0,2.0,No,Non-Travel,Sales,Life Sciences,Male,Laboratory Technician,Single
60,16,3,170,4,23390,20,0,4,18,13,11,3,4,4.0,22.0,3.0,1.0,4.0,No,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Married
